id,name,addr,city,phone,type,class
628,'alain rondelli','126 clement st.','san francisco',415/387-0408,french,94
629,aqua,'252 california st.','san francisco',415/956-9662,seafood,95
630,boulevard,'1 mission st.','san francisco',415/543-6084,american,96
631,'cafe claude','7 claude la.','san francisco',415/392-3505,french,97
632,'campton place','340 stockton st.','san francisco',415/955-5555,american,98
633,'chez michel','804 northpoint','san francisco',415/775-7036,french,99
634,'fleur de lys','777 sutter st.','san francisco',415/673-7779,french,100
635,fringale,'570 4th st.','san francisco',415/543-0573,french,101
636,'hawthorne lane','22 hawthorne st.','san francisco',415/777-9779,american,102
637,'khan toke thai house','5937 geary blvd.','san francisco',415/668-6654,asian,103
638,'la folie','2316 polk st.','san francisco',415/776-5577,french,104
639,lulu,'816 folsom st.','san francisco',415/495-5775,mediterranean,105
640,'masa\'s','648 bush st.','san francisco',415/989-7154,french,106
641,'mifune japan center  kintetsu building','1737 post st.','san francisco',415/922-0337,asian,107
642,'plumpjack cafe','3201 fillmore st.','san francisco',415/563-4755,mediterranean,108
643,postrio,'545 post st.','san francisco',415/776-7825,american,109
644,'ritz-carlton restaurant and dining room','600 stockton st.','san francisco',415/296-7465,american,110
645,'rose pistola','532 columbus ave.','san francisco',415/399-0499,italian,111
646,bolo,'23 e. 22nd st.','new york',212/228-2200,mediterranean,191
647,'il nido','251 e. 53rd st.','new york',212/753-8450,italian,267
648,remi,'145 w. 53rd st.','new york',212/581-4242,italian,334
649,'adriano\'s ristorante','2930 beverly glen circle','los angeles',310/475-9807,italian,112
650,'barney greengrass','9570 wilshire blvd.','beverly hills',310/777-5877,american,113
651,beaurivage,'26025 pacific coast hwy.',malibu,310/456-5733,french,114
652,'bistro garden','176 n. canon dr.','los angeles',310/550-3900,californian,115
653,'border grill','4th st.','los angeles',310/451-1655,mexican,116
654,'broadway deli','3rd st. promenade','santa monica',310/451-0616,american,117
655,'ca\'brea','346 s. la brea ave.','los angeles',213/938-2863,italian,118
656,'ca\'del sol','4100 cahuenga blvd.','los angeles',818/985-4669,italian,119
657,'cafe pinot','700 w. fifth st.','los angeles',213/239-6500,californian,120
658,'california pizza kitchen','207 s. beverly dr.','los angeles',310/275-1101,californian,121
659,'canter\'s','419 n. fairfax ave.','los angeles',213/651-2030.,american,122
660,cava,'3rd st.','los angeles',213/658-8898,mediterranean,123
661,'cha cha cha','656 n. virgil ave.','los angeles',213/664-7723,caribbean,124
662,'chan dara','310 n. larchmont blvd.','los angeles',213/467-1052,asian,125
663,'clearwater cafe','168 w. colorado blvd.','los angeles',818/356-0959,'health food',126
664,'dining room','9500 wilshire blvd.','los angeles',310/275-5200,californian,127
665,dive!,'10250 santa monica blvd.','los angeles',310/788-,'dive american',128
666,drago,'2628 wilshire blvd.','santa monica',310/828-1585,italian,129
667,'drai\'s','730 n. la cienega blvd.','los angeles',310/358-8585,french,130
668,'dynasty room','930 hilgard ave.','los angeles',310/208-8765,continental,131
669,eclipse,'8800 melrose ave.','los angeles',310/724-5959,californian,132
670,'ed debevic\'s','134 n. la cienega','los angeles',310/659-1952,american,133
671,'el cholo','1121 s. western ave.','los angeles',213/734-2773,mexican,134
672,'gilliland\'s','2424 main st.','santa monica',310/392-3901,american,135
673,'gladstone\'s','4 fish 17300 pacific coast hwy. at sunset blvd.','pacific palisades',310/454-3474,american,136
674,'hard rock cafe','8600 beverly blvd.','los angeles',310/276-7605,american,137
675,'harry\'s bar & american grill','2020 ave. of the stars','los angeles',310/277-2333,italian,138
676,'il fornaio cucina italiana','301 n. beverly dr.','los angeles',310/550-8330,italian,139
677,'jack sprat\'s grill','10668 w. pico blvd.','los angeles',310/837-6662,'health food',140
678,'jackson\'s farm','439 n. beverly drive','los angeles',310/273-5578,californian,141
679,'jimmy\'s','201 moreno dr.','los angeles',310/552-2394,continental,142
680,joss,'9255 sunset blvd.','los angeles',310/276-1886,asian,143
681,'le colonial','8783 beverly blvd.','los angeles',310/289-0660,asian,144
682,'le dome','8720 sunset blvd.','los angeles',310/659-6919,french,145
683,'louise\'s trattoria','4500 los feliz blvd.','los angeles',213/667-0777,italian,146
684,'mon kee seafood restaurant','679 n. spring st.','los angeles',213/628-6717,asian,147
685,'morton\'s','8764 melrose ave.','los angeles',310/276-5205,american,148
686,'nate \'n\' al\'s','414 n. beverly dr.','los angeles',310/274-0101,american,149
687,nicola,'601 s. figueroa st.','los angeles',213/485-0927,american,150
688,'ocean avenue','1401 ocean ave.','santa monica',310/394-5669,american,151
689,orleans,'11705 national blvd.','los angeles',310/479-4187,cajun,152
690,'pacific dining car','6th st.','los angeles',213/483-6000,american,153
691,'paty\'s','10001 riverside dr.','toluca lake',818/761-9126,american,154
692,'pinot hollywood','1448 n. gower st.','los angeles',213/461-8800,californian,155
693,posto,'14928 ventura blvd.','sherman oaks',818/784-4400,italian,156
694,prego,'362 n. camden dr.','los angeles',310/277-7346,italian,157
695,'rj\'s the rib joint','252 n. beverly dr.','los angeles',310/274-7427,american,158
696,remi,'3rd st. promenade','santa monica',310/393-6545,italian,159
697,'restaurant horikawa','111 s. san pedro st.','los angeles',213/680-9355,asian,160
698,'roscoe\'s house of chicken \'n\' waffles','1514 n. gower st.','los angeles',213/466-9329,american,161
699,'schatzi on main','3110 main st.','los angeles',310/399-4800,continental,162
700,sofi,'3rd st.','los angeles',213/651-0346,mediterranean,163
701,swingers,'8020 beverly blvd.','los angeles',213/653-5858,american,164
702,'tavola calda','7371 melrose ave.','los angeles',213/658-6340,italian,165
703,'the mandarin','430 n. camden dr.','los angeles',310/859-0926,asian,166
704,'tommy tang\'s','7313 melrose ave.','los angeles',213/937-5733,asian,167
705,'tra di noi','3835 cross creek rd.','los angeles',310/456-0169,italian,168
706,'trader vic\'s','9876 wilshire blvd.','los angeles',310/276-6345,asian,169
707,vida,'1930 north hillhurst ave.','los feliz',213/660-4446,american,170
708,'west beach cafe','60 n. venice blvd.','los angeles',310/823-5396,american,171
709,'20 mott','20 mott st.  between bowery and pell st.','new york',212/964-0380,asian,172
710,'9 jones street','9 jones st.','new york',212/989-1220,american,173
711,adrienne,'700 5th ave. at 55th st.','new york',212/903-3918,french,174
712,agrotikon,'322 e. 14 st.  between 1st and 2nd aves.','new york',212/473-2602,mediterranean,175
713,aja,'937 broadway at 22nd st.','new york',212/473-8388,american,176
714,alamo,'304 e. 48th st.','new york','212/ 759-0590',mexican,177
715,'alley\'s end','311 w. 17th st.','new york',212/627-8899,american,178
716,'ambassador grill','1 united nations plaza at 44th st.','new york',212/702-5014,american,179
717,'american place','2 park ave. at 32nd st.','new york',212/684-2122,american,180
718,'anche vivolo','222 e. 58th st.  between 2nd and 3rd aves.','new york',212/308-0112,italian,181
719,arizona,'206 206 e. 60th st.','new york',212/838-0440,american,182
720,'arturo\'s','106 w. houston st.  off thompson st.','new york',212/677-3820,italian,183
721,'au mandarin','200-250 vesey st. world financial center','new york',212/385-0313,asian,184
722,'bar anise','1022 3rd ave.  between 60th and 61st sts.','new york',212/355-1112,mediterranean,185
723,barbetta,'321 w. 46th st.','new york',212/246-9171,italian,186
724,'ben benson\'s','123 w. 52nd st.','new york',212/581-8888,american,187
725,'big cup','228 8th ave.  between 21st and 22nd sts.','new york',212/206-0059,'coffee bar',188
726,'billy\'s','948 1st ave.  between 52nd and 53rd sts.','new york',212/753-1870,american,189
727,'boca chica','13 1st ave.  near 1st st.','new york',212/473-0108,'latin american',190
728,boonthai,'1393a 2nd ave.  between 72nd and 73rd sts.','new york',212/249-8484,asian,192
729,bouterin,'420 e. 59th st.  off 1st ave.','new york',212/758-0323,french,193
730,'brothers bar-b-q','225 varick st. at clarkston st.','new york',212/727-2775,american,194
731,bruno,'240 e. 58th st.','new york',212/688-4190,italian,195
732,'bryant park grill  roof restaurant and bp cafe','25 w. 40th st.  between 5th and 6th aves.','new york',212/840-6500,american,196
